benchmark cores inputsize label label1core median median_factor offset slowdown_factor stdev stdev_factor wcet wcet1core wcet_median_factor
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 309947.5 0.9998661242818293 4.0 1.0017251935660803 1246.92755480773 0.759021874179678 314129.0 313588.0 1.0134909944426072
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 309794.0 0.999370945420644 5.0 0.9985522405194076 1321.8239101286379 0.8046123110624913 313134.0 313588.0 1.0107813579346274
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 309685.0 0.9990193200403885 6.0 1.001221347755654 1346.0454049715047 0.8193562665875587 313971.0 313588.0 1.01383986954486
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 310157.0 1.0005419547145222 7.0 1.003361098001199 1357.8286852056651 0.8265289105898768 314642.0 313588.0 1.014460418433245
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 309799.5 0.9993886879857027 8.0 0.9979431610903479 1103.4513203247857 0.671685925930239 312943.0 313588.0 1.0101468853242177
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 309479.0 0.998354780330915 9.0 0.9989508527112007 1439.0858492920613 0.8759912588534792 313259.0 313588.0 1.0122140759146825
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 309548.5 0.9985789818348393 10.0 0.9881723790451166 719.3168054943987 0.43785798760336514 309879.0 313588.0 1.0010676840624328
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1836006.0 1.099177714783473 0.0 1.1225153194202975 24862.136726311128 16.663030668962595 1878196.0 1673203.0 1.0229792277367284
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1775198.0 1.0627732594164678 1.0 1.0961533059646678 22076.96444986981 14.796360415654405 1834087.0 1673203.0 1.0331732009612449
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1772394.0 1.0610945642965974 2.0 1.0818358561393926 16928.258328255837 11.34560922100202 1810131.0 1673203.0 1.0212915412712975
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1757672.5 1.0522811155779195 3.0 1.0765203026769614 16969.17811947921 11.37303436726473 1801237.0 1673203.0 1.024785334014158
